date,temperaturemin,temperaturemax,precipitation,snow,snwd,awnd
6/15/19,51,83,0,0,0,6.93
7/31/19,69,95,0.24,0,0,3.36
8/13/19,73,96,0.56,0,0,7.61
9/7/19,63,90,0,0,0,3.58
10/17/19,45,66,0,0,0,8.28
12/28/19,48,71,0,0,0,1.79
2/17/20,37,59,0,0,0,5.14
3/26/20,47,61,0,0,0,5.14
4/23/20,55,66,0.1,0,0,7.83
8/29/20,77,87,0.03,0,0,11.86
9/11/20,73,88,0.05,0,0,4.92
10/13/20,54,82,0,0,0,3.58
10/30/20,48,74,0.28,0,0,6.49
12/28/20,31,61,0,0,0,5.37
1/20/21,31,54,0,0,0,6.04
4/4/21,36,74,0,0,0,5.37
4/10/21,57,79,0.24,0,0,8.95
8/6/21,61,87,0.39,0,0,2.91
8/12/21,74,98,0,0,0,6.71
11/11/21,45,75,0.02,0,0,5.82
11/19/21,33,59,0,0,0,5.59
12/14/21,28,61,0,0,0,3.58
12/18/21,59,71,0.02,0,0,9.4
2/16/22,33,67,0,0,0,8.3
3/13/22,23,52,0,0,0,8.3
4/11/22,43,82,0,0,0,7.4
1/14/17,42,55,0,0,0,6.71
2/27/17,35,66,0,0,0,5.37
3/5/17,30,53,0,0,0,6.26
3/12/17,30,48,0.03,0.3,0,4.92
3/18/17,44,64,0.5,0,0,7.83
6/21/17,66,85,0.2,0,0,6.71
7/26/17,72,90,0,0,0,5.82
8/26/17,68,83,0,0,0,8.05
8/28/17,62,78,0.03,0,0,11.41
11/10/17,35,58,0,0,0,6.71
12/22/17,36,61,0,0,0,3.58
12/23/17,48,71,0,0,0,12.08
1/2/18,12,32,0,0,0,2.91
1/6/18,12,27,0,0,0,4.03
1/31/18,19,47,0,0,0,5.82
2/22/18,61,78,0,0,0,9.84
4/16/18,41,64,0,0,0,14.76
4/23/18,52,66,0.01,0,0,11.18
4/28/18,50,78,0,0,0,5.82
5/5/18,63,82,0,0,0,7.83
5/8/18,53,77,0,0,0,7.83
5/20/18,69,86,0,0,0,8.05
6/13/18,67,85,0,0,0,6.04
8/16/18,68,92,0,0,0,2.91
9/9/18,67,80,0.15,0,0,5.37
12/11/18,27,44,0,0,2,3.8
12/13/18,29,51,0,0,0,2.24
12/23/18,28,57,0.01,0,0,5.14
2/17/19,34,40,0.24,0,0,4.47
4/6/19,53,67,0,0,0,3.8
6/16/19,66,89,0,0,0,11.41
6/21/19,65,85,0,0,0,7.61
7/5/19,70,91,0.31,0,0,4.7
7/10/19,72,91,0,0,0,5.82
8/7/19,72,91,0.14,0,0,6.49
8/25/19,63,76,0.04,0,0,6.49
9/2/19,70,90,0,0,0,3.8
9/6/19,69,87,0.1,0,0,7.61
11/25/19,32,62,0,0,0,2.24
12/15/19,35,61,0,0,0,4.7
12/25/19,32,58,0,0,0,2.46
1/7/20,30,52,0.07,0,0,5.14
1/17/20,36,47,0,0,0,6.93
3/24/20,50,55,0.27,0,0,5.37
4/8/20,58,83,0.43,0,0,6.71
4/22/20,41,71,0,0,0,4.92
4/25/20,55,61,0.01,0,0,8.28
5/16/20,60,89,0,0,0,6.93
6/1/20,54,77,0,0,0,4.47
